idade,trabalho,atraso,contato,mes,duracao,anterior,produto
35-59,escritório,não,telefone fixo,junho,média,nenhum,não
19-34,manual,desconhecido,telefone móvel,julho,média,nenhum,não
35-59,outros,não,telefone fixo,maio,longa,nenhum,não
19-34,outros,não,telefone móvel,outubro,longa,nenhum,não
19-34,escritório,não,telefone móvel,junho,média,apenas um,sim
35-59,escritório,desconhecido,telefone móvel,novembro,média,nenhum,não
35-59,outros,não,telefone móvel,maio,longa,nenhum,sim
35-59,outros,não,telefone fixo,maio,curta,nenhum,não
35-59,manual,não,telefone móvel,agosto,média,nenhum,não
35-59,manual,desconhecido,telefone móvel,maio,curta,apenas um,não
35-59,escritório,não,telefone móvel,agosto,longa,nenhum,não
35-59,terceirizados,não,telefone fixo,maio,média,nenhum,não
35-59,manual,desconhecido,telefone fixo,junho,curta,nenhum,não
19-34,escritório,não,telefone móvel,agosto,média,mais de um,sim
35-59,outros,não,telefone fixo,junho,média,nenhum,não
19-34,outros,não,telefone fixo,maio,média,apenas um,não
19-34,manual,não,telefone móvel,maio,média,apenas um,sim
19-34,escritório,não,telefone móvel,março,média,apenas um,sim
35-59,manual,desconhecido,telefone fixo,julho,média,nenhum,não
60+,aposentado,desconhecido,telefone móvel,agosto,média,nenhum,sim
35-59,escritório,não,telefone móvel,novembro,curta,nenhum,não
35-59,outros,não,telefone móvel,abril,curta,apenas um,não
35-59,escritório,não,telefone móvel,agosto,média,nenhum,não
60+,escritório,não,telefone fixo,maio,curta,nenhum,não
35-59,manual,não,telefone móvel,julho,curta,nenhum,não
19-34,escritório,não,telefone móvel,julho,média,nenhum,sim
19-34,outros,não,telefone fixo,maio,longa,nenhum,não
35-59,terceirizados,não,telefone móvel,abril,longa,nenhum,não
35-59,gerência,não,telefone móvel,julho,média,nenhum,não
35-59,manual,desconhecido,telefone fixo,junho,longa,nenhum,sim
19-34,manual,desconhecido,telefone móvel,julho,média,nenhum,não
35-59,outros,desconhecido,telefone fixo,junho,curta,nenhum,não
19-34,manual,não,telefone móvel,julho,curta,nenhum,não
35-59,outros,desconhecido,telefone fixo,junho,curta,nenhum,não
35-59,outros,desconhecido,telefone móvel,agosto,longa,nenhum,sim
35-59,manual,desconhecido,telefone móvel,maio,longa,apenas um,sim
35-59,outros,não,telefone fixo,maio,longa,nenhum,não
19-34,terceirizados,não,telefone móvel,julho,longa,nenhum,sim
19-34,manual,não,telefone móvel,maio,longa,apenas um,não
35-59,gerência,não,telefone móvel,novembro,curta,nenhum,não
19-34,terceirizados,não,telefone móvel,julho,média,apenas um,sim
35-59,escritório,não,telefone móvel,agosto,longa,nenhum,não
35-59,gerência,não,telefone móvel,agosto,curta,nenhum,não
60+,aposentado,não,telefone móvel,novembro,longa,apenas um,sim
35-59,outros,desconhecido,telefone móvel,abril,média,nenhum,não
19-34,outros,não,telefone móvel,abril,média,apenas um,não
35-59,escritório,não,telefone móvel,agosto,curta,mais de um,não
35-59,escritório,não,telefone móvel,abril,longa,apenas um,sim
35-59,manual,não,telefone fixo,maio,longa,nenhum,não
35-59,outros,não,telefone móvel,maio,longa,nenhum,sim
35-59,outros,não,telefone móvel,novembro,média,nenhum,não
